PMC-llama13b_answer_original,PMC-llama13b_answer_v1,PMC-llama13b_answer_v2,PMC-llama13b_answer_v3,PMC-llama13b_answer_v4,PMC-llama13b_answer_v5
"1. The following literature references are listed for general information purposes only; they do not constitute an endorsement by the National Institutes of Health (NIH) of the organizations listed, or of the products or services they offer. 2. The NIH does not endorse or recommend any commercial products or services. 3. The NIH does not provide personal medical advice. 4. For personal medical advice, individuals should consult their own physician or other health care provider. 5. The NIH does not endorse or recommend any specific commercial products or services, including those mentioned in NIH publications. 6. The appearance of any commercial product or service on the NIH website does not constitute an endorsement by the NIH of the product or service or its manufacturer or distributor. 7. The NIH does not provide specific medical advice for products or services promoted on the NIH website. 8. The NIH will not conduct research on or make recommendations about the safety or efficacy of specific products or services. 9. The NIH does not certify or endorse any private company or its products or services. 10. The NIH does not guarantee the accuracy, adequacy, completeness, or usefulness of any information, product, or service on the NIH website.",1. Cardiac amyloidosis: a clinical review. Author: Robbins R. 2. Cardiac amyloidosis: diagnosis and management. Author: Linke R. 3. Cardiac amyloidosis. Author: Kyle R. 4. Cardiac amyloidosis: a review. Author: O'Hanlon D. 5. Treatment of cardiac amyloidosis. Author: Linke R.,1) NIH: https://www.nlm.nih.gov/medlineplus/ency/article/00116503.htm 2) MedlinePlus Encyclopedia: https://www.nlm.nih.gov/medlineplus/ency/article/00116503.htm 3) Genetic and Rare Diseases Information Center: https://rarediseases.nih.gov/diseases-conditions/cardiomyopathy-amyloidosis 4) MedlinePlus Encyclopedia: Amyloidosis: https://www.nlm.nih.gov/medlineplus/ency/article/00116503.htm,"1) NIH has a library that is available to the public. It is called the Warren Grant Magnuson Clinical Center Library. It is located in Building 10 on the NIH campus. The library's hours are 8:00 am to 8:00 pm, Monday through Friday. It is closed on Saturdays, Sundays and Federal holidays. The telephone number is (301) 496-3111 or (301) 402-8400. You can also access the library's web page at http://ccl.ncbi.nlm.nih.gov/ 2) The NIH has a website that provides information on many health-related topics. It is called ""PubMed"" and can be accessed at http://www.ncbi.nlm.nih.gov/pubmed/ 3) In addition to the NIH website, MEDLINEplus is a database of health information. It is a service of the U.S. National Library of Medicine. It can be accessed at http://www.nlm.nih.gov/medlineplus/ 4) The NIH has a database called RePORTER that provides information on federally and privately supported biomedical research projects. It can be accessed at http://projectreporter.nih.gov/reporter.cfm 5) The NIH has a website that provides information on clinical trials. It is called ""ClinicalTrials.gov"" and can be accessed at http://www.clinicaltrials.gov/ 6) The NIH has a website that provides information on genetic and rare diseases. It is called ""Genetic and Rare Diseases Information Center"" and can be accessed at http://rarediseases.info.nih.gov/ 7) The NIH has a website that provides information on patient education. It is called ""Patient Information - Health Topics"" and can be accessed at http://www.nih.gov/patient-info/health-topics.html 8) The NIH has a website that provides information on patient safety and how patients can help prevent medical errors. It is called ""Patient Safety Initiative"" and can be accessed at http://www.ahrq.gov/qual","1) The following article provides a good overview of the topic: Harrison's Internal Medicine, 18th Edition, Chapter 130

Cardiac Amyloidosis

2) The following journal article may also be of interest: N Engl J Med (2007) 356:1311-1323. doi:10.1056/NEJMra051747

Cardiac amyloidosis

3) The following book chapter may also be of interest: Robbins Pathologic Basis of Disease, 8th Edition, Page 569

Cardiac Amyloidosis

4) The following website is a good resource for information on this topic: American Heart Association, Cardiovascular Health: Different Types of Cardiovascular Diseases: Cardiomyopathy: Restrictive Cardiomyopathy: Restrictive Cardiomyopathy: Amyloidosis",1. The following article from the American Heart Association discusses the diagnosis and treatment of cardiac amyloidosis. 2. The following article from the American College of Cardiology discusses the use of a new blood test to diagnose cardiac amyloidosis. 3. The following article from the American College of Cardiology discusses the use of a new echocardiography technique to diagnose cardiac amyloidosis. 4. The following article from the American College of Cardiology discusses the use of a new echocardiography technique to diagnose cardiac amyloidosis. 5. The following article from the American College of Cardiology discusses the use of a new echocardiography technique to diagnose cardiac amyloidosis. 6. The following article from the American College of Cardiology discusses the use of a new echocardiography technique to diagnose cardiac amyloidosis. 7. The following article from the American College of Cardiology discusses the use of a new echocardiography technique to diagnose cardiac amyloidosis. 8. The following article from the American College of Cardiology discusses the use of a new echocardiography technique to diagnose cardiac amyloidosis. 9. The following article from the American College of Cardiology discusses the use of a new echocardiography technique to diagnose cardiac amyloidosis. 10. The following article from the American College of Cardiology discusses the use of a new echocardiography technique to diagnose cardiac amyloidosis.
"Migraine is a complex disorder with multiple subtypes.  The treatment of migraine is challenging because the disorder has many different subtypes and the response to treatment differs among subtypes.  In order to better match treatment to subtype, researchers have attempted to classify migraine into distinct subtypes based on clinical features and therapeutic response.  Two of the best examples of this approach are the classification of migraine by its association with either aura or without aura and the classification of headache as chronic migraine, episodic migraine, or chronic tension-type headache.  In terms of treatment, the triptans are effective at treating migraine with aura, while the non-steroidal anti-inflammatory drugs are effective at treating migraine without aura.  Similarly, preventive treatment is effective at treating chronic migraine, while abortive treatment is effective at treating episodic migraine.  In the future, it is likely that new treatments will be developed that are specific for the different subtypes of migraine.","1. Yes, there are studies that have investigated which migraine treatments are most effective for specific migraine conditions. 2. For example, studies have found that triptans are particularly effective for patients with aura, while NSAIDs are particularly effective for patients without aura. 3. In addition, studies have found that opioids are particularly effective for patients with severe migraine, while botulinum toxin is particularly effective for patients with chronic migraine.","Yes.  Researchers have studied how well different treatments work for patients with different types of migraine.  For example, medications that contain ergotamine or sumatriptan are most effective for patients with migraine with aura.  Medications that contain propranolol are most effective for patients with migraine without aura.","1. Summary Migraine is a common, debilitating disorder characterized by recurrent headaches. Although migraine has been recognized for millennia, its pathophysiology is not fully understood. 2. Background Migraine is a common, debilitating disorder characterized by recurrent headaches. Although migraine has been recognized for millennia, its pathophysiology is not fully understood. 3. Objective To review the current understanding of the pathophysiology of migraine and the clinical implications of this knowledge. 4. Sources A MEDLINE search was performed using the PubMed database and the Cochrane Library. Reference lists of retrieved articles and recent review articles were hand-searched for additional material. Search terms included ""migraine, "" ""pathogenesis, "" ""pathophysiology, "" ""trigeminal, "" ""neurogenic, "" ""vascular, "" ""extracerebral, "" ""intracranial, "" ""genetic, "" ""epidemiology, "" ""clinical features, "" ""diagnosis, "" ""treatment, "" ""triptans, "" ""occipital nerve stimulation, "" ""surgery, "" and ""botulinum toxin."" 5. Methods We focused on articles published since 1990 and English-language material. We excluded case reports, animal studies, and studies with fewer than 10 patients. 6. Results The trigeminal system has a central role in the pathophysiology of migraine. Peripheral triggers (e.g., distension of the extracerebral carotid artery) activate cephalic nociceptive afferent fibers that converge in the trigeminal nucleus caudalis and project to the thalamus and brain stem. In the brainstem, the trigeminovascular system interacts with the hypothalamus, which controls heat loss, and with the nucleus tractus solitarius, which regulates blood pressure. Activation of the trigeminal nucleus caudalis and nucleus tractus solitarius causes release of vasoactive neuropeptides, including substance P, neurokinin A, and neuropeptide Y, which dilate the extrac","1. Yes, several studies have attempted to categorize migraine treatments by their effectiveness against specific migraine subtypes. 2. These studies have found that triptans are the most effective treatments for migraine with aura, while NSAIDs are the most effective treatments for migraine without aura. 3. Other treatments, such as opioids, are effective for both types of migraine. 4. Some studies have also attempted to determine whether migraine subtypes respond differently to different treatments. These studies have found that migraine with aura responds best to triptans, while migraine without aura responds best to NSAIDs.","1) Yes, there is scientific evidence that links specific migraine treatments to their effectiveness against distinct migraine conditions. 2) The scientific evidence shows that: a) Triptans are the most effective treatments for acute migraine attacks; b) Some triptans are also effective in preventing migraine attacks; c) Ergotamine and dihydroergotamine are also effective in acute migraine attacks; d) Some antidepressants are effective in preventing migraine attacks; e) Some anticonvulsants are effective in preventing migraine attacks; f) Some analgesics are effective in providing relief from migraine pain; g) Some herbal treatments are effective in providing relief from migraine pain; h) Some treatments have no proven effectiveness in providing relief from migraine pain."
10 mg a day orally of pyridoxine is an established treatment for pregnancy-associated nausea and vomiting.,"1. Yes, it is safe to take pyridoxine during pregnancy. 2. Pyridoxine is a form of vitamin B and is necessary for the proper development of the baby. 3. Pyridoxine helps prevent birth defects of the brain and spinal cord. 4. It is recommended that you take 400 micrograms of pyridoxine daily during pregnancy. 5. Check with your doctor if you are pregnant or planning to become pregnant and want to take pyridoxine.","1. Yes, it is safe to use pyridoxine during pregnancy. 2. Pyridoxine is an essential vitamin that is necessary for the proper development of the baby. 3. Pyridoxine helps to prevent the baby from developing a condition called ""infantile spasms."" 4. Pyridoxine is found in many foods, including meat, whole grain bread, cereals, and dairy products. 5. The recommended dietary allowance (RDA) of pyridoxine for pregnant women is 2 mg per day. 6. Pyridoxine is also known as vitamin B6.","1. Yes, it is safe to take pyridoxine during pregnancy.2. Pyridoxine is a form of vitamin B6 commonly prescribed to treat deficiency states and to prevent and treat nausea and vomiting associated with pregnancy.3. It is also used as an anticonvulsant in patients with seizure disorders.4. Pyridoxine is not known to cause any harmful effects on the fetus.5. However, its use during pregnancy is not recommended unless absolutely necessary.6. Consult your doctor for the same.","1. Yes, pyridoxine is safe during pregnancy. 2. Pyridoxine is a form of vitamin B and is necessary for the proper development of the baby. 3. Pyridoxine is found in many foods, including meat, whole grain bread, cereals, pasta, rice, fruit, and vegetables. 4. Pyridoxine is also available as a dietary supplement. 5. Pyridoxine is used to treat or prevent low pyridoxine levels and to prevent and treat skin disorders caused by a lack of pyridoxine. 6. Pyridoxine is in the B vitamin family.","1. Yes, pyridoxine is pregnancy category B. 2. There are no known teratogenic effects of pyridoxine in humans. However, there are no adequate and well-controlled studies in pregnant women. 3. It is not known whether this drug is secreted in breast milk. 4. Pyridoxine should only be used during pregnancy when there is a distinctive indication."
"1. Muscle cramps are very common in people who have cancer. Certain chemotherapy drugs can also cause muscle cramps. 2. Muscle cramps can be very uncomfortable, but there are things you can do to help prevent them. 3. Some things that may help prevent muscle cramps are: a. Taking a potassium supplement. b. Staying hydrated. c. Doing stretching exercises before you get out of bed in the morning. 4. If muscle cramps are a problem for you, talk to your doctor.",1. Hypokalemia 2. Hypomagnesemia 3. Hypocalcemia 4. Hypophosphatemia 5. Hyponatremia,50-70% of patients receiving chemotherapy for lymphoma will develop muscle cramps.,5-Fluorouracil can cause muscle pain and cramps.,"5-Fluorouracil, cytarabine, and vincristine are chemotherapy drugs commonly used to treat lymphoma. These drugs can cause muscle cramps.","1. Muscle cramps are a common and distressing side effect of chemotherapy. 2. The mechanism of muscle cramps is not well understood. 3. Muscle cramps are associated with electrolyte abnormalities, particularly hypokalemia and hypomagnesemia. 4. Preventive measures include adequate hydration, correction of electrolyte abnormalities, and administration of a commercial sports drink. 5. Muscle cramps are usually self-limited and resolve with rehydration and correction of electrolyte abnormalities. 6. If severe, muscle cramps can be treated with Neutropin or B complex vitamins."
"1. The researchers are looking for participants who have been diagnosed with either wet or dry macular degeneration. 2. The study will last about 10 years and will involve visits to the study center every 3 to 6 months. 3. Participants will be asked to have an eye exam and eye tests, and to collect a small amount of blood. 4. As part of the study, participants will be asked to use an electronic device to take pictures of their eyes. 5. Participants will also be asked to complete questionnaires about their health and quality of life.","1. The National Eye Institute (NEI) is the federal government's lead agency for research on the eyes and visual system, and funds research on macular degeneration at medical centers across the United States. The NEI is part of the National Institutes of Health. 2. The NEI has a website that provides information about clinical trials on macular degeneration. 3. The NEI also has a website that provides information about research on macular degeneration. 4. You can search for clinical trials on macular degeneration at the following websites: http://www.clinicaltrials.gov/ and http://www.centerwatch.com/clinicaltrials/index.html. 5. You can search for research studies on macular degeneration at the following websites: http://www.clinicaltrials.gov/ and http://www.centerwatch.com/clinicaltrials/index.html.","Researchers are studying many aspects of macular degeneration, including new ways to diagnose and monitor the disease, and new treatments. Clinical trials of new treatments are currently under way across the country. For information on current clinical trials and other research studies on macular degeneration, visit the following Web site: http://www.clinicaltrials.gov.","1) The National Eye Institute (NEI), which is part of the National Institutes of Health (NIH), is the federal government's lead agency for research on the eyes and visual system. The NEI sponsors studies on macular degeneration at medical centers throughout the United States. To find out whether there are any clinical trials for macular degeneration being conducted at institutions near you, go to the NEI's website at http://www.nei.nih.gov/ClinicalStudies/ and click on ""Find a Study."" 2) The U.S. National Library of Medicine also maintains a database of clinical trials for macular degeneration. To search this database, go to the following web address: http://www.nlm.nih.gov/pubmed/ and type in ""macular degeneration"" (in quotation marks) as the search term. 3) The following web page lists studies sponsored by the NEI: http://www.nei.nih.gov/research/clinical.asp 4) Another source of information is the Genetic Testing Registry (GTR), which maintains a database of genetic tests and the diseases they detect. To find out if there are any genetic tests for macular degeneration, visit the GTR website at http://www.genetests.org/ and type ""macular degeneration"" (in quotation marks) as the search term.",1. Volunteer to participate in a clinical trial. Contact the study chairperson or co-chairperson to determine if there are any active studies in your area. 2. Donate your eyes after death for research purposes. Contact your local eye bank to inquire about donating your eyes. 3. Donate money to research. Contact the Foundation Fighting Blindness or other organizations to see how you can help fund research. 4. Stay informed. Follow the progress of macular degeneration research in the news and on the Internet.,"Researchers are looking for volunteers with macular degeneration to participate in studies throughout the United States. Some of the studies are testing new ways to treat macular degeneration; others are testing ways to prevent macular degeneration. To find out if there are any studies in your area, visit the following Web site and search by location: http://www.clinicaltrials.gov/ct2/home.asp."
"Hypothyroidism is a condition in which the thyroid gland does not make enough thyroid hormone to meet the body’s needs. Thyroid hormone regulates metabolism—the way the body uses energy—and affects nearly every organ in the body. Without enough thyroid hormone, many of the body’s functions slow down.","1. Hypothyroidism is a condition in which the thyroid gland does not make enough thyroid hormone to meet the body's needs. 2. Thyroid hormone regulates metabolism--the way the body uses energy. It also helps control the way children grow and develop. 3. Hypothyroidism can be caused by problems with the thyroid gland or by problems with the pituitary gland, which makes thyroid-stimulating hormone (TSH). TSH tells the thyroid gland how much thyroid hormone to make. 4. Hypothyroidism can be passed down through families (inherited). It can also be caused by certain medicines and radiation treatments for cancer. 5. Symptoms of hypothyroidism include fatigue, weight gain, constipation, dry skin, and depression. 6. A child with hypothyroidism may be slower to develop and may not grow as fast as other children. 7. The doctor uses a blood test to check thyroid hormone levels in the body. Treatment involves taking a pill every day that has the right amount of thyroid hormone. 8. Most people need to take the medicine for life.","1. Hypothyroidism is a condition in which the thyroid gland does not make enough thyroid hormone to meet the body's needs. 2. Thyroid hormone affects almost every organ in the body. It sets the stage for a child's growth and development. It influences how fast a child's heart beats, how well his muscles, joints, and organs work, and how much energy a child has. 3. Hypothyroidism in children is most often caused by chronic inflammation (Hashimoto's thyroiditis) or injury to or absence of the thyroid gland (congenital hypothyroidism). 4. Hashimoto's thyroiditis is a common condition in which the immune system attacks the thyroid gland. It can occur at any age, but it is most often diagnosed in children and in people who are over 60 years old. 5. Congenital hypothyroidism is present from birth. It occurs when the thyroid gland does not develop correctly or when it is absent. 6. Hypothyroidism can also be caused by certain medications, radiation treatment, and complete or partial absence of the thyroid gland. 7. Hypothyroidism can be diagnosed with blood tests that measure thyroid hormone levels. Treatment involves taking a daily pill that contains the missing thyroid hormone.","1. Hypothyroidism is a condition in which the thyroid gland does not make enough thyroid hormone to meet the body's needs. 2. The most common cause is an autoimmune disorder. Other causes include thyroid surgery, radiation treatment, and certain medicines. 3. Symptoms include fatigue, weight gain, constipation, dry skin, and depression. 4. Untreated hypothyroidism can lead to heart disease, anemia, and other problems. 5. Treatment is with thyroid hormone replacement medicines.","Hypothyroidism is a condition in which the thyroid gland does not make enough thyroid hormone to meet the body's needs. Thyroid hormone regulates metabolism—the way the body uses energy—and affects nearly every organ in the body. Without enough thyroid hormone, many of the body's functions slow down.  Hypothyroidism is often called underactive thyroid. Hypothyroidism can be caused by:   - Hashimoto's disease (chronic lymphocytic thyroiditis)—an autoimmune disorder that causes the thyroid gland to become inflamed and interferes with its ability to make thyroid hormone  - thyroiditis (inflammation of the thyroid gland)—causes the thyroid to make too much thyroid hormone at first, then not enough. This is often caused by a viral infection  - surgical removal of part or all of the thyroid gland  - radiation treatment of the thyroid gland  - some medicines, such as amiodarone, lithium, and p-aminosalicylic acid  - severe diet deficiencies of iodine and selenium. These are the minerals the thyroid gland needs to make thyroid hormone  - congenital (birth) defects in the thyroid gland  - rare conditions such as a thyroid hormone resistance, in which the body does not respond to the thyroid hormone it makes  - pituitary gland tumor, which may interfere with the release of thyroid stimulating hormone (TSH) that controls the release of thyroid hormone  - other autoimmune diseases, such as type 1 diabetes, Addison's disease, and pernicious anemia  - HIV infection  - severe weight loss.  Symptoms of hypothyroidism depend on the cause and can include the following:   - fatigue  - constipation  - depression  - weight gain  - cold intolerance  - dry, coarse skin and hair  - muscle cramps and stiffness  - menstrual irregularities  - infertility  - hoarse voice  - slow reflexes  - sensitivity to cold  - carpal","1. Hypothyroidism is a condition in which your thyroid gland doesn't make enough thyroid hormone to meet your body's needs. In most cases, the cause is an autoimmune disorder. 2. Symptoms can be mild or severe, depending on how much your thyroid hormone levels are decreased. 3. Hypothyroidism treatment involves taking a daily thyroid hormone pill. It usually takes a few weeks to months for the medication to take effect. 4. With treatment, most people with hypothyroidism can live normal lives."
"1. Since it has been 5 years since your dog bite, there is no need to worry about rabies now.2. However, if you have any open wound or sore at the site of dog bite, then you should get it examined by a doctor and if needed to take a booster shot of tetanus injection.3. If you have any symptoms like fever, headache, vomiting, etc., then you should consult a doctor immediately.4. If you have any symptoms of rabies like excessive salivation, abnormal behavior, etc., then you should consult a doctor immediately.5. There is no treatment for rabies once the symptoms appear.","1. Itching at the site of a bite that occurred five years ago is not a cause for concern.2. Since you have already received the complete course of vaccinations, there is nothing to worry about.3. However, if you notice any signs of rabies in the dog such as aggressiveness, biting other animals or people, foaming at the mouth, confusion, or abnormal excitement, then you should seek medical attention immediately.4. As for the itching, you can apply a topical steroid cream to the affected area.","1. Itching at the site of a street dog bite is not a sign of a future issue.2. Rabies is 100% fatal, but 100% preventable with proper and adequate treatment.3. If you have not developed any symptoms suggestive of rabies in the past five years, you do not have rabies.4. However, if you are still worried, you can get a rabies vaccine booster dose.","1. Yes, it is possible to get rabies even after vaccination.2. Itching at the site of bite is not a cause of concern.3. Rabies can be treated, but it depends on the symptoms. If you are having symptoms like fever, headache, weakness, paralysis, etc., then you need to get treated for rabies.","1. Since you have been vaccinated after the dog bite, you do not need to worry about rabies.2. However, if you are still worried, you can get a rabies vaccine booster dose.3. The itching at the site of the bite is not a cause for concern. It is usually due to local inflammation.4. You can take an antihistamine like cetirizine for relief from itching.","1. Itching at the site of a dog bite that occurred five years ago is not likely to lead to rabies.2. Rabies is a fatal disease and there is no cure once clinical symptoms develop.3. However, if you are still worried, you can get a booster dose of the rabies vaccine."
"1. The optic nerve atrophy is a condition that cannot be reversed. However, the loss of vision can be helped by using eyeglasses or contact lenses. 2. The optic nerve atrophy is a condition that cannot be reversed. However, the loss of vision can be helped by using eyeglasses or contact lenses. 3. There are no medications or surgery to restore vision. 4. Low vision aids such as magnifying glasses, telescopes, or closed-circuit television may help. 5. The optic nerve atrophy cannot be reversed. 6. The loss of vision can be helped by using eyeglasses or contact lenses.","1. Unfortunately, there is no treatment for optic nerve atrophy. 2. However, there are ways to manage the vision loss. You can try: 3. Using eyeglasses or contact lenses 4. Making changes in your home or work environment to adapt to your vision loss 5. Learning to use alternative visual skills 6. Using a guide dog 7. Getting emotional support and counseling","1. Unfortunately, there is no treatment for optic nerve atrophy. 2. The main goal of treatment is to manage any underlying condition that may be causing the optic nerve atrophy. 3. Low vision aids may help if there is significant loss of vision.","1. Optic nerve atrophy is a condition that cannot be reversed.2. Treatment is focused on the underlying cause.3. If there is no known cause, treatment is aimed at relieving symptoms.4. If the condition is caused by optic neuritis, treatment with high-dose steroids may be helpful.5. If the condition is caused by ischemia, treatment may include medications to reduce blood pressure and lower the amount of lipids in the blood.6. If the condition is caused by compression of the optic nerve, surgery may be necessary.","1. Optic nerve atrophy is a condition that results from damage to the optic nerve. It can be caused by a variety of factors including trauma, inflammation, infection, toxins, and genetic conditions. 2. Unfortunately, there is no treatment available to reverse optic nerve atrophy once it has occurred. Treatment is aimed at the underlying cause. 3. If you are experiencing vision loss, you may need to wear corrective lenses or consider other options for vision enhancement. Low vision aids are available. 4. It is important to have regular eye exams to monitor any changes in your eye health and to address any new problems promptly.","1. Optic nerve atrophy is a condition that cannot be cured. However, vision can be improved with the use of eyeglasses or contact lenses. 2. In some cases, a corneal transplant may be needed. 3. Low vision aids such as magnifiers and telescopes may help. 4. Researchers are testing new treatments for optic nerve atrophy. These include coenzyme Q10, vitamin A, and the antioxidant acetylcysteine."
1. When do you know when you have congenital night blindness? 2. How do you know when you have congenital night blindness? 3. How is congenital night blindness diagnosed? 4. When and how do you know when you have congenital night blindness?,1. I determine congenital night blindness if the patient has complaints of night blindness. 2. I determine congenital night blindness if the patient has complaints of night blindness and any of the following: a. Patient is unable to see at night; b. Patient is unable to see at dusk or dawn; c. Patient is unable to see when light is shining in the eyes; d. Patient has difficulty seeing at night when light is shining in the eyes; e. Patient has difficulty seeing when light is shining in the eyes; f. Patient has complaints of night blindness and any of the above.,1. Congenital night blindness is a condition that is present at birth. 2. It is characterized by the inability to see in dim light or at night. 3. It usually becomes apparent shortly after birth.,"1. Night blindness is a condition in which a person cannot see well at night or in poor lighting. People with this condition have difficulty seeing at night, even in well-lit areas. 2. People with night blindness cannot see well at night. They may have trouble even seeing in well-lit areas. 3. Night blindness is a condition in which a person cannot see well at night or in poor lighting. People with this condition have difficulty seeing at night, even in well-lit areas. 4. People with night blindness cannot see well at night. They may have trouble even seeing in well-lit areas.","1. People usually realize they have congenital night blindness in their teens or twenties, when they are driving at night or walking in the dark. 2. The realization can be triggered by a change in environment (e.g., moving to a place with less light pollution), a change in lifestyle (e.g., starting a night job), or an injury (e.g., a head injury that affects the retina).",1. People with congenital night blindness have difficulty seeing at night or in poor light. They may not recognize faces or details in poor light. 2. Congenital night blindness is usually not noticeable until the person is a teenager or adult. 3. Some people may not realize they have night blindness until they try to drive at night.
"Lewy body dementia is a type of dementia that involves abnormal deposits of a protein called Lewy body in the brain. This protein can cause a wide range of symptoms, including:  - Changes in alertness and attention  - Hallucinations  - Problems with movement and posture  - Muscle stiffness  - Confusion  - Loss of memory  - Sleep problems  - Depression  - Agitation  - Loss of facial expression  - Other symptoms  Lewy body dementia is often confused with other types of dementia, such as Alzheimer's disease. But the difference is important because the treatments are different.  Lewy body dementia is treated with drugs that reduce hallucinations, confusion, and muscle stiffness. These drugs include:  - Antipsychotics  - Sleeping pills  - Certain anti-epileptic drugs  - Some drugs used to treat Alzheimer's  Lewy body dementia may also be treated with drugs that increase the amount of dopamine in the brain. These drugs include:  - Levodopa  - Pergolide  - Bromocriptine  - Pramipexole  - Ropinirole  - Rotigotine  - Apomorphine  - Memantine  People with Lewy body dementia often have trouble sleeping. They may sleep during the day and be awake at night. They may also have trouble staying asleep.","Lewy body dementia is a type of dementia that shares symptoms with both Alzheimer's disease and Parkinson's disease. People with Lewy body dementia may experience a decline in thinking, reasoning, and independent function. They may also have visual hallucinations and delusions, and experience fluctuations in their attention and alertness. Lewy body dementia is often misdiagnosed as Alzheimer's or Parkinson's, partly because the symptoms can overlap with those of other dementias and neurological conditions. However, it is important to distinguish between Lewy body dementia and other forms of dementia because Lewy body dementia may respond differently to certain medications. NIH: National Institute of Neurological Disorders and Stroke",1. Lewy body dementia is a type of dementia that involves the death of nerve cells in the brain. 2. Lewy body dementia is characterized by both the parkinsonian and cognitive symptoms of Alzheimer's disease. 3. Lewy body dementia is more common in people who have Parkinson's disease. 4. Lewy body dementia is more common in people who have a family history of dementia. 5. Lewy body dementia is more common in people who have a history of mood disorders. 6. Lewy body dementia is more common in people who have a history of psychosis.,"1) Increase awareness among health care providers by including Lewy Body Dementia in continuing education programs for physicians, nurses, and other health care professionals; 2) Develop educational materials for patients and families about Lewy Body Dementia, including information about risk factors, symptoms, diagnosis, and treatment; 3) Encourage researchers to study Lewy Body Dementia, including the development of diagnostic tools, treatments, and cures; 4) Encourage researchers to study how Lewy Body Dementia affects African Americans, Hispanics, American Indians, Asian Americans, and other minority populations; 5) Encourage researchers to study how Lewy Body Dementia interacts with other conditions, such as Alzheimer's disease and sleep disorders; and 6) Encourage researchers to study how caregivers of patients with Lewy Body Dementia can be helped.",1) Lewy Body Dementia Association: http://www.lbda.org/ 2) Lewy Body Dementia Fact Sheet: http://www.nia.nih.gov/alzheimers/disease-specific/lewy-body-dementia 3) Lewy Body Dementia: Diagnosis and Treatment: http://www.nia.nih.gov/alzheimers/disease-specific/lewy-body-dementia/diagnosis-treatment 4) Lewy Body Dementia: Unraveling the Mystery: http://www.nia.nih.gov/alzheimers/disease-specific/lewy-body-dementia/unraveling-mystery 5) Lewy Body Dementia: A Growing Concern: http://www.nia.nih.gov/alzheimers/disease-specific/lewy-body-dementia/growing-concern 6) Lewy Body Dementia: A Family Guide: http://www.nia.nih.gov/alzheimers/disease-specific/lewy-body-dementia/family-guide 7) Lewy Body Dementia: A Guide for Caregivers: http://www.nia.nih.gov/alzheimers/disease-specific/lewy-body-dementia/caregivers-guide 8) Lewy Body Dementia: A Guide for Professionals: http://www.nia.nih.gov/alzheimers/disease-specific/lewy-body-dementia/professionals-guide 9) Lewy Body Dementia: A Guide for Patients and Families: http://www.nia.nih.gov/alzheimers/disease-specific/lewy-body-dementia/patients-families-guide 10) Lewy Body Dementia: A Guide for Caregivers: http://www.nia.nih.gov/alzheimers/disease-specific/lewy-body-dementia/caregivers-guide,"1) Increase public awareness of LBD and its symptoms. 2) Encourage healthcare professionals to become more familiar with LBD and its symptoms. 3) Encourage research into the causes, diagnosis, treatment, and cure for LBD. 4) Provide information and support for people with LBD, their families, and caregivers."
