questionid,original,v1,v2,v3,v4,v5
Q1,"Literature on Cardiac amyloidosis.  Please let me know where I can get literature on Cardiac amyloidosis.  My uncle died yesterday from this disorder.  Since this is such a rare disorder, and to honor his memory, I would like to distribute literature at his funeral service.  I am a retired NIH employee, so I am familiar with the campus in case you have literature at NIH that I can come and pick up.  Thank you ","I'm looking for literature on Cardiac amyloidosis, can you help me find some resources?","Where can I access literature on Cardiac amyloidosis, a rare disorder that recently claimed the life of my uncle?","As a retired NIH employee, I'm searching for literature on Cardiac amyloidosis to distribute at my uncle's funeral service - can you point me in the right direction?","I'm seeking literature on Cardiac amyloidosis to honor my uncle's memory, who sadly passed away from this condition - can you provide some leads?","Are there any resources or literature available on Cardiac amyloidosis that I could obtain, preferably at NIH, to share at my uncle's funeral service?"
Q2,"Migraine seems to be a spectrum of conditions rather than only one easily diagnosed affliction.  Many innovative migraine treatments are now in use, but it seems that each treatment only addresses a narrow set of conditions; for example, my daughter has tried many different treatment options (QEEG, HEG, TMS, topamax, ...) without success.  Has any research been done to characterize which treatment types are effective against which migraine types?",Are there any studies that have investigated which migraine treatments are most effective for specific types of migraines?,Has research been conducted to identify the most effective treatment approaches for different migraine subtypes?,What research has been done to determine which migraine treatments are best suited for particular migraine conditions?,Is there any scientific evidence that links specific migraine treatments to specific types of migraines?,Have researchers explored the relationship between different migraine types and the effectiveness of various treatment options?
Q3,DO I USE PYRIDOXINE TABLETS EVEN IF IM PREGNANT?,Should I take pyridoxine tablets during pregnancy?,Are pyridoxine tablets safe to use when pregnant?,Can I continue taking pyridoxine tablets while pregnant?,Is it okay to use pyridoxine tablets when I'm pregnant?,Do pyridoxine tablets have any restrictions for pregnant women?
Q4,i have lymphoma what causes cramp after chemo treatment,What triggers cramps in lymphoma patients after chemotherapy treatment?,"Are cramps a common side effect of chemotherapy for lymphoma, and if so, what causes them?",Why do I experience cramping after undergoing chemotherapy for my lymphoma?,What is the explanation for the cramps I'm experiencing following chemotherapy treatment for lymphoma?,"Can chemotherapy treatment for lymphoma cause muscle cramps, and if so, what's behind this phenomenon?"
Q5,I wonder of new research and testing on macular degeneration and the opportunity to be part of this process.,Are there any opportunities to participate in new research and testing on macular degeneration?,"What are the latest developments in macular degeneration research and testing, and how can I be involved?",Can you tell me about the current research and testing on macular degeneration and the possibility of participating in it?,How can I get involved in the latest research and testing on macular degeneration?,What opportunities exist for individuals to contribute to new research and testing on macular degeneration?
Q6,Can you please send me as much information as possible on &quot;hypothyroidism&quot;. I was recently diagnosed with the disease and I am struggling to figure out what it is and how I got it. My name and address is: [NAME] [LOCATION] [CONTACT] Thank you in advance for your help!!!,I've just been diagnosed with hypothyroidism and I'm having trouble understanding what it is and how I contracted it - can you provide me with as much information as possible about this condition?,"I've recently received a diagnosis of hypothyroidism, but I'm unclear on the details - could you please send me comprehensive information on this disease, including its causes?","Having been diagnosed with hypothyroidism, I'm struggling to comprehend the condition and its origins - would you be able to provide me with extensive information on this topic?","I've been diagnosed with hypothyroidism, but I don't understand what it means or how I got it - can you please send me detailed information on this disease, including its causes and effects?","Following a recent diagnosis of hypothyroidism, I'm seeking as much information as possible on this condition, including its causes and symptoms - could you please provide me with this information?"
Q7,"A street dog bit me five years ago, I take all the vaccine from very next day from biting, now on that spot where bite there was etching problem since few day, please guide me is there any problem will create in future if create is there any treatment for rabies.","I was bitten by a stray dog five years ago and received all the necessary vaccinations starting from the next day; however, I've been experiencing etching issues on the bite spot for a few days now - should I be concerned about potential future problems, and if so, are there any treatments available for rabies?","Five years have passed since a street dog bit me, and I completed the full vaccine regimen from the very next day; lately, I've been dealing with etching problems on the bite area - can you advise me on whether this might lead to future complications, and if it does, what are the treatment options for rabies?","After being bitten by a stray dog five years ago, I promptly received all the required vaccinations; however, I've recently developed etching issues on the affected area - could this be a sign of future problems, and if so, what treatments are available for rabies?","It's been five years since I was bitten by a street dog, and I got all the necessary shots from the next day onwards; currently, I'm experiencing etching problems on the bite spot - should I be worried about potential future issues, and if so, are there any treatments available to combat rabies?","I was bitten by a stray dog five years ago and received the full course of vaccinations starting from the next day; now, I'm dealing with etching issues on the affected area - can you guide me on whether this might lead to future complications, and if it does, what are the treatment options available for rabies?"
Q8,"Dear Sir/Madam  I'm [NAME] from [LOCATION], I'm 35 years old , I'd like to ask you a Medical Question as I've got an optic nerve atrophy in my eye and i lost my vision since i was 8 years old , Now I've got one eye just ,  So please is there treatment for optic nerve atrophy !  Please see the attachment which is a Medical report from [LOCATION],  Best Wishes  [NAME] ","I'm [NAME] from [LOCATION], 35 years old, and I'm reaching out with a medical question regarding my optic nerve atrophy, which has caused me to lose my vision since I was 8 years old; I now only have one eye, and I'm wondering if there's a treatment available for this condition.","I'm writing to ask about a medical issue I've been dealing with since I was 8 years old - I have optic nerve atrophy in one eye, which has resulted in vision loss, and I'm now left with only one eye; can you please let me know if there's a treatment for this condition?","I'm [NAME], a 35-year-old from [LOCATION], and I'm seeking advice on a medical condition I've had since childhood - optic nerve atrophy has caused me to lose my vision, leaving me with only one eye; is there a treatment available for this condition?","I'm [NAME] from [LOCATION], and I'm 35 years old; I've had optic nerve atrophy in one eye since I was 8 years old, which has resulted in vision loss, and I'm now left with only one eye - can you please tell me if there's a treatment for this condition?","I'm reaching out for medical guidance on optic nerve atrophy, a condition I've had since I was 8 years old, which has caused me to lose my vision, leaving me with only one eye; I've attached a medical report from [LOCATION] - is there a treatment available for this condition?"
Q9,When and how do you know when you have congenital night blindness?,"At what point do you determine if you have congenital night blindness, and how do you make that determination?","How do you diagnose congenital night blindness, and what are the signs that indicate its presence?","What are the indicators that you have congenital night blindness, and when do you typically become aware of them?","Can you explain the process of identifying congenital night blindness, including the timing and signs of its presence?","What signs and symptoms point to congenital night blindness, and when do they usually become apparent?"
Q10,"Would appreciate any good info on Lewy Body Dementia, we need to get people aware of this dreadful disease, all they talk about is alzheimers.  Thank you ",Can you provide information on Lewy Body Dementia to raise awareness about this underrecognized condition?,"What can you tell me about Lewy Body Dementia, a disease that deserves more attention than it receives?","How can we increase awareness about Lewy Body Dementia, a condition often overshadowed by Alzheimer's?",Do you have any resources or information on Lewy Body Dementia that could help educate people about this disease?,What are some key facts about Lewy Body Dementia that we should know to help spread awareness about this condition?
