questionid,original,v1,v2,v3,v4,v5
Q1,"Literature on Cardiac amyloidosis.  Please let me know where I can get literature on Cardiac amyloidosis.  My uncle died yesterday from this disorder.  Since this is such a rare disorder, and to honor his memory, I would like to distribute literature at his funeral service.  I am a retired NIH employee, so I am familiar with the campus in case you have literature at NIH that I can come and pick up.  Thank you ","I'm looking for literature on Cardiac amyloidosis, can you help me find some?","After losing a loved one to Cardiac amyloidosis, I'd like to share information about this rare disorder at their funeral service - where can I find relevant literature?","As a retired NIH employee, I'm familiar with the campus - are there any resources or literature on Cardiac amyloidosis available that I can access?","In memory of my uncle who passed away from Cardiac amyloidosis, I'd like to distribute literature on this condition at his funeral - can you point me in the right direction?",I'm seeking literature on Cardiac amyloidosis to honor my uncle's memory - are there any reliable sources or resources available that I can tap into?
Q2,"Migraine seems to be a spectrum of conditions rather than only one easily diagnosed affliction.  Many innovative migraine treatments are now in use, but it seems that each treatment only addresses a narrow set of conditions; for example, my daughter has tried many different treatment options (QEEG, HEG, TMS, topamax, ...) without success.  Has any research been done to characterize which treatment types are effective against which migraine types?",Are there any studies that have investigated which migraine treatments are most effective for specific migraine conditions?,Has research been conducted to identify the most effective treatment approaches for different types of migraines?,What research has been done to determine which migraine treatments are best suited for particular migraine subtypes?,Have any studies attempted to categorize migraine treatments by their effectiveness against specific migraine subtypes?,Is there any scientific evidence that links specific migraine treatments to their effectiveness against distinct migraine conditions?
Q3,DO I USE PYRIDOXINE TABLETS EVEN IF IM PREGNANT?,Should I take pyridoxine tablets during pregnancy?,Is it safe to use pyridoxine tablets when pregnant?,Can I continue taking pyridoxine tablets while pregnant?,Are pyridoxine tablets suitable for pregnant women?,Do pyridoxine tablets have any pregnancy-related restrictions?
Q4,i have lymphoma what causes cramp after chemo treatment,What triggers cramps in lymphoma patients after chemotherapy?,Are cramps a common side effect of chemotherapy for lymphoma patients?,What causes muscle cramps in people with lymphoma who have undergone chemotherapy?,Do chemotherapy treatments for lymphoma often lead to muscle cramps?,Why do people with lymphoma experience muscle cramps after receiving chemotherapy?
Q5,I wonder of new research and testing on macular degeneration and the opportunity to be part of this process.,Are there any opportunities for new research and testing on macular degeneration that I could be a part of?,"What are the latest developments in macular degeneration research and testing, and can I participate?",Is there a way for me to get involved in the latest research and testing for macular degeneration?,How can I contribute to the advancement of macular degeneration research and testing?,What opportunities exist for individuals to participate in macular degeneration research and testing?
Q6,Can you please send me as much information as possible on &quot;hypothyroidism&quot;. I was recently diagnosed with the disease and I am struggling to figure out what it is and how I got it. My name and address is: [NAME] [LOCATION] [CONTACT] Thank you in advance for your help!!!,"I have recently been diagnosed with hypothyroidism, can you please provide me with detailed information about this disease and how I may have contracted it?","What is hypothyroidism and how does one get it, I was recently diagnosed and would appreciate any information you can send my way?","I am seeking information on hypothyroidism, a disease I have recently been diagnosed with, and would like to know more about its causes and effects?","Can you send me information on hypothyroidism, a disease I've recently been diagnosed with, including how it is contracted and what it means for my health?","I've recently received a diagnosis of hypothyroidism and am looking for information on what this means, how I got it, and what I can expect going forward?"
Q7,"A street dog bit me five years ago, I take all the vaccine from very next day from biting, now on that spot where bite there was etching problem since few day, please guide me is there any problem will create in future if create is there any treatment for rabies.","I was bitten by a stray dog five years ago and received all the necessary vaccinations the very next day - now, I'm experiencing itching issues at the bite site; should I be concerned about future complications or is there a treatment available for rabies?","Five years ago, I was bitten by a street dog and got vaccinated immediately; recently, I've developed an itching problem at the bite location - could this be a sign of a future issue or is there a cure for rabies?","I got bitten by a stray dog five years ago and took all the required shots from the next day onwards; now, I'm facing an itching issue at the bite site - is this a cause for concern or can rabies be treated?","After being bitten by a street dog five years ago, I received all the necessary vaccinations from the very next day; currently, I'm experiencing itching at the bite site - should I worry about potential future problems or is there a treatment for rabies?","Five years ago, I was bitten by a dog and got vaccinated immediately; I've recently developed an itching problem at the bite location - could this lead to future complications or is there a cure for rabies?"
Q8,"Dear Sir/Madam  I'm [NAME] from [LOCATION], I'm 35 years old , I'd like to ask you a Medical Question as I've got an optic nerve atrophy in my eye and i lost my vision since i was 8 years old , Now I've got one eye just ,  So please is there treatment for optic nerve atrophy !  Please see the attachment which is a Medical report from [LOCATION],  Best Wishes  [NAME] ","I'm [NAME] from [LOCATION], 35 years old, and I'm reaching out for medical advice as I've been living with optic nerve atrophy in one eye since I was 8 years old, resulting in vision loss; I currently rely on my one remaining eye - could you please inform me about potential treatments for optic nerve atrophy?","I'm writing to seek medical guidance as I've been dealing with optic nerve atrophy in one eye since childhood, which led to vision loss at the age of 8; now, I'm left with only one functional eye - are there any effective treatments available for optic nerve atrophy?","As someone who has been affected by optic nerve atrophy in one eye since I was 8 years old, resulting in complete vision loss, and now relying on my one remaining eye, I'm eager to know - is there a treatment option available for optic nerve atrophy?","I'm [NAME] from [LOCATION], and I'm 35 years old; I've been living with optic nerve atrophy in one eye since I was a child, which caused me to lose my vision at the age of 8 - I'm now left with only one eye; could you please share your expertise on whether there's a treatment for optic nerve atrophy?","I'm reaching out for medical guidance as I've been dealing with optic nerve atrophy in one eye, which I've had since I was 8 years old and resulted in vision loss; currently, I rely on my one remaining eye - are there any medical treatments available that could help with optic nerve atrophy?"
Q9,When and how do you know when you have congenital night blindness?,At what point and under what circumstances do you determine if you have congenital night blindness?,How can you identify congenital night blindness and when does it become apparent?,"What are the signs and symptoms that indicate you have congenital night blindness, and when do they typically appear?","When do people usually realize they have congenital night blindness, and what triggers this realization?","What are the key indicators that someone has congenital night blindness, and at what stage do these indicators become noticeable?"
Q10,"Would appreciate any good info on Lewy Body Dementia, we need to get people aware of this dreadful disease, all they talk about is alzheimers.  Thank you ",Can you provide information on Lewy Body Dementia to raise awareness about this underrecognized condition?,What are some key facts about Lewy Body Dementia that can help spread awareness about this disease?,"How can we increase awareness about Lewy Body Dementia, a condition often overshadowed by Alzheimer's?",Are there any resources or information available on Lewy Body Dementia to help educate people about this disease?,"What can we do to promote awareness and education about Lewy Body Dementia, a disease that is often misunderstood?"
