questionid,original,v1,v2,v3,v4,v5
Q1,"Literature on Cardiac amyloidosis.  Please let me know where I can get literature on Cardiac amyloidosis.  My uncle died yesterday from this disorder.  Since this is such a rare disorder, and to honor his memory, I would like to distribute literature at his funeral service.  I am a retired NIH employee, so I am familiar with the campus in case you have literature at NIH that I can come and pick up.  Thank you ","I'm looking for literature on Cardiac amyloidosis, can you help me find some resources?","Where can I access literature and information on Cardiac amyloidosis, a rare disorder that recently affected my family?","In memory of my uncle who passed away from Cardiac amyloidosis, I'd like to distribute literature on the disorder at his funeral service - can you guide me to some reliable sources?","As a retired NIH employee, I'm familiar with the campus and would like to know if there are any literature or resources on Cardiac amyloidosis available for pickup?",I'm seeking literature on Cardiac amyloidosis to honor my uncle's memory - can you provide me with some leads or point me in the right direction?
Q2,"Migraine seems to be a spectrum of conditions rather than only one easily diagnosed affliction.  Many innovative migraine treatments are now in use, but it seems that each treatment only addresses a narrow set of conditions; for example, my daughter has tried many different treatment options (QEEG, HEG, TMS, topamax, ...) without success.  Has any research been done to characterize which treatment types are effective against which migraine types?",Are there any studies that have investigated which migraine treatments are most effective for specific types of migraines?,Has research been conducted to identify the most effective treatment approaches for different migraine subtypes?,What research has been done to determine which migraine treatments are best suited for particular migraine conditions?,Is there any scientific evidence that links specific migraine treatments to specific types of migraines?,Have researchers explored the relationship between different migraine types and the effectiveness of various treatment options?
Q3,DO I USE PYRIDOXINE TABLETS EVEN IF IM PREGNANT?,Should I take pyridoxine tablets during pregnancy?,Are pyridoxine tablets safe to use while pregnant?,Can I continue taking pyridoxine tablets if I'm pregnant?,Is it okay to use pyridoxine tablets when pregnant?,Do pyridoxine tablets have any restrictions for pregnant women?
Q4,i have lymphoma what causes cramp after chemo treatment,What triggers cramping after chemotherapy treatment in lymphoma patients?,Are muscle cramps a common side effect of chemotherapy for lymphoma?,Why do I experience muscle cramps after undergoing chemotherapy for lymphoma?,What is the cause of post-chemotherapy cramping in individuals with lymphoma?,"Can chemotherapy treatment for lymphoma lead to muscle cramps, and if so, why?"
Q5,I wonder of new research and testing on macular degeneration and the opportunity to be part of this process.,Are there any opportunities to participate in new research and testing for macular degeneration?,"What are the latest developments in macular degeneration research and testing, and how can I get involved?",Can you inform me about the newest research and testing initiatives for macular degeneration and potential participation?,How can I contribute to or participate in the latest macular degeneration research and testing efforts?,What opportunities exist for individuals to engage in cutting-edge macular degeneration research and testing?
Q6,Can you please send me as much information as possible on &quot;hypothyroidism&quot;. I was recently diagnosed with the disease and I am struggling to figure out what it is and how I got it. My name and address is: [NAME] [LOCATION] [CONTACT] Thank you in advance for your help!!!,I've recently been diagnosed with hypothyroidism and I'm having trouble understanding what it is and how I contracted it - can you please provide me with as much information as possible about this condition?,"I've just received a diagnosis of hypothyroidism, but I'm unclear on the details - could you send me comprehensive information on this disease, including its causes?","Having been diagnosed with hypothyroidism, I'm struggling to comprehend the condition and its origins - would you be able to provide me with detailed information on this topic?","I've been diagnosed with hypothyroidism, but I don't understand what it means or how I got it - can you please send me a comprehensive guide to this disease, including its causes and effects?","Following a recent diagnosis of hypothyroidism, I'm seeking a thorough understanding of the condition - could you please provide me with extensive information on hypothyroidism, including its causes, symptoms, and treatment options?"
Q7,"A street dog bit me five years ago, I take all the vaccine from very next day from biting, now on that spot where bite there was etching problem since few day, please guide me is there any problem will create in future if create is there any treatment for rabies.","Five years ago, I was bitten by a street dog and received all the necessary vaccinations starting from the next day; however, I've been experiencing etching issues on the bite spot for a few days now - should I be concerned about any potential future problems, and if so, are there any treatments available for rabies?","I got bitten by a stray dog five years back, and I took all the required shots from the very next day; lately, I've been having some etching issues on the bite area - could this lead to any future complications, and if it does, what are the treatment options for rabies?","After being bitten by a street dog five years ago, I received all the vaccine doses from the next day onwards; now, I'm experiencing etching problems on the bite spot - should I worry about any potential long-term effects, and if so, are there any treatments available to combat rabies?","Five years have passed since a street dog bit me, and I took all the necessary vaccinations starting from the next day; currently, I'm dealing with etching issues on the bite area - am I at risk of developing any future problems, and if so, what are the treatment options for rabies?","I was bitten by a stray dog five years ago and received all the vaccine doses from the next day; lately, I've been experiencing etching problems on the bite spot - could this be a sign of any future complications, and if so, what treatments are available to address rabies?"
Q8,"Dear Sir/Madam  I'm [NAME] from [LOCATION], I'm 35 years old , I'd like to ask you a Medical Question as I've got an optic nerve atrophy in my eye and i lost my vision since i was 8 years old , Now I've got one eye just ,  So please is there treatment for optic nerve atrophy !  Please see the attachment which is a Medical report from [LOCATION],  Best Wishes  [NAME] ","I'm [NAME] from [LOCATION], 35 years old, and I'm reaching out with a medical question regarding my optic nerve atrophy, which has caused me to lose my vision since I was 8 years old; I now have only one functional eye, so I'd like to know if there's a treatment available for this condition.","I'm writing to inquire about a medical issue I've been dealing with since I was 8 years old - I have optic nerve atrophy in one eye, which has resulted in vision loss, and I'm now left with only one eye; could you please let me know if there's a treatment for this condition?","As someone who's been living with optic nerve atrophy since the age of 8, resulting in the loss of vision in one eye, I'm now seeking advice on whether there's a treatment available for this condition; I've attached a medical report from [LOCATION] for your reference.","I'm [NAME], a 35-year-old from [LOCATION], and I'm seeking medical guidance on optic nerve atrophy, which has caused me to lose my vision in one eye since I was 8 years old; I've included a medical report from [LOCATION] - could you please inform me about potential treatments for this condition?","I'm reaching out for medical advice on a personal issue - I've had optic nerve atrophy in one eye since I was 8 years old, resulting in vision loss, and I'm now left with only one functional eye; I've attached a medical report from [LOCATION] - is there a treatment available for optic nerve atrophy?"
Q9,When and how do you know when you have congenital night blindness?,"At what point do you realize you have congenital night blindness, and how does it happen?","How do you determine if you have congenital night blindness, and what triggers it?","What are the signs that indicate you have congenital night blindness, and when do they appear?","Can you explain how congenital night blindness is diagnosed, and what age does it typically become apparent?","What are the symptoms that suggest congenital night blindness, and how early can it be detected?"
Q10,"Would appreciate any good info on Lewy Body Dementia, we need to get people aware of this dreadful disease, all they talk about is alzheimers.  Thank you ",Can you provide information about Lewy Body Dementia to raise awareness about this under-discussed disease?,What are some key facts about Lewy Body Dementia that can help spread awareness about this condition?,"How can we increase awareness about Lewy Body Dementia, which often takes a backseat to Alzheimer's in public discussions?",Are there any resources or information available to educate people about Lewy Body Dementia and its impact?,"What can be done to promote awareness and understanding of Lewy Body Dementia, a disease often overshadowed by Alzheimer's?"
